gender,age,party,voting_for,state,title,url,org,candidate,flesch,gunning_fog,readability,topic,favor,trust,group
female,50-64,democrat,Hillary Clinton,IN,First Draft: Hillary Clinton to Open Asian-American Outreach Effort in California,http://www.nytimes.com/politics/first-draft/2016/01/07/hillary-clinton-to-open-asian-american-outreach-effort-in-california/,The New York Times,Hillary Clinton,9.5,8.4,55.24,Immigration,0,1,B
female,50-64,democrat,Hillary Clinton,IN,"First Draft: Donald Trump Backer Gets $1 Million Back, Then Donates It Again",http://www.nytimes.com/politics/first-draft/2016/02/03/donald-trump-backer-gets-1-million-back-then-donates-it-again/,The New York Times,Donald Trump,5.2,6.4,77.23,Campaign Finance,-1,1,B
male,50-64,no_affiliation,Hillary Clinton,GA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,1,0,B
male,50-64,no_affiliation,Hillary Clinton,GA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,-1,0,B
male,50-64,no_affiliation,Hillary Clinton,GA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,1,0,B
male,50-64,no_affiliation,Hillary Clinton,GA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,0,0,B
male,50-64,no_affiliation,Hillary Clinton,GA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,0,B
female,30-49,republican,Ted Cruz,TX,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,-1,1,B
female,30-49,republican,Ted Cruz,TX,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,0,1,B
female,30-49,republican,Ted Cruz,TX,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,-1,1,B
female,30-49,republican,Ted Cruz,TX,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,0,1,B
female,30-49,republican,Ted Cruz,TX,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,1,B
male,18-29,independent_other,Bernie Sanders,CA,First Draft: Bernie Sanders Gets Some Outside Help He Didn’t Ask For,http://www.nytimes.com/politics/first-draft/2016/01/20/bernie-sanders-gets-some-outside-help-he-didnt-ask-for/,The New York Times,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,0,1,B
male,18-29,independent_other,Bernie Sanders,CA,Democrats hold key debate amid feuding over Sanders' medical records,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/z1CxBpCWk14/democrats-hold-key-debate-amid-feuding-over-sanders-medical-records.html,Fox News,Bernie Sanders,12.3,11.2,48.13,Campaign Finance,0,0,B
male,18-29,independent_other,Bernie Sanders,CA,First Draft: Hillary Clinton Leads in Fund-Raising From Lobbyists,http://www.nytimes.com/politics/first-draft/2016/02/01/hillary-clinton-leads-in-fund-raising-from-lobbyists/,The New York Times,Hillary Clinton,10.3,9.2,53.21,Campaign Finance,0,1,B
male,18-29,independent_other,Bernie Sanders,CA,First Draft: Donald Trump Says He’ll Release Tax Returns ‘at Some Point’,http://www.nytimes.com/politics/first-draft/2016/02/22/donald-trump-says-hell-release-tax-returns-at-some-point/,The New York Times,Donald Trump,5.6,6.8,76.22,Campaign Finance,0,0,B
male,18-29,independent_other,Bernie Sanders,CA,Trump unscathed in GOP ad wars,http://www.cnn.com/2016/01/05/politics/primary-conflicts-2016/index.html,CNN,Donald Trump,12.3,12.4,53.55,Campaign Finance,1,-1,B
female,18-29,democrat,Hillary Clinton,CA,First Draft: F.E.C. Tells Sanders Campaign That Some Donors May Have Given Too Much,http://www.nytimes.com/politics/first-draft/2016/02/12/f-e-c-tells-sanders-campaign-that-some-donors-may-have-given-too-much/,The New York Times,Bernie Sanders,9.1,8.0,56.25,Campaign Finance,-1,0,B
female,18-29,democrat,Hillary Clinton,CA,Why Cruz is in trouble in Texas,http://www.cnn.com/2016/02/25/politics/ted-cruz-super-tuesday-texas/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,-1,0,B
female,18-29,democrat,Hillary Clinton,CA,Cruz to tea party supporters: Don't get 'burned' by fake conservatives,http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,CNN,Ted Cruz,11.9,12.0,54.56,Immigration,0,0,B
female,18-29,democrat,Hillary Clinton,CA,Trump's closing pitch to Iowa caucus-goers a family affair,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-31-US--2016-Election-The%20Latest/id-3b77ffea54704d26a8f9fcc61ff634b6,the Associated Press,Donald Trump,8.7,8.8,62.68,Campaign Finance,0,0,B
female,18-29,democrat,Hillary Clinton,CA,First Draft: Hispanic Celebrities Denounce Donald Trump and G.O.P. Field,http://www.nytimes.com/politics/first-draft/2016/02/11/hispanic-celebrities-denounce-donald-trump-and-g-o-p-field/,The New York Times,Donald Trump,11.5,9.2,44.75,Immigration,-1,2,B
male,30-49,no_affiliation,Other,CA,First Draft: F.E.C. Tells Sanders Campaign That Some Donors May Have Given Too Much,http://www.nytimes.com/politics/first-draft/2016/02/12/f-e-c-tells-sanders-campaign-that-some-donors-may-have-given-too-much/,The New York Times,Bernie Sanders,9.1,8.0,56.25,Campaign Finance,0,0,B
male,30-49,no_affiliation,Other,CA,Why Cruz is in trouble in Texas,http://www.cnn.com/2016/02/25/politics/ted-cruz-super-tuesday-texas/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,-1,0,B
male,30-49,no_affiliation,Other,CA,Cruz to tea party supporters: Don't get 'burned' by fake conservatives,http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,CNN,Ted Cruz,11.9,12.0,54.56,Immigration,1,0,B
male,30-49,no_affiliation,Other,CA,Trump's closing pitch to Iowa caucus-goers a family affair,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-31-US--2016-Election-The%20Latest/id-3b77ffea54704d26a8f9fcc61ff634b6,the Associated Press,Donald Trump,8.7,8.8,62.68,Campaign Finance,0,0,B
male,30-49,no_affiliation,Other,CA,First Draft: Hispanic Celebrities Denounce Donald Trump and G.O.P. Field,http://www.nytimes.com/politics/first-draft/2016/02/11/hispanic-celebrities-denounce-donald-trump-and-g-o-p-field/,The New York Times,Donald Trump,11.5,9.2,44.75,Immigration,-1,0,B
male,50-64,democrat,Bernie Sanders,WI,First Draft: F.E.C. Tells Sanders Campaign That Some Donors May Have Given Too Much,http://www.nytimes.com/politics/first-draft/2016/02/12/f-e-c-tells-sanders-campaign-that-some-donors-may-have-given-too-much/,The New York Times,Bernie Sanders,9.1,8.0,56.25,Campaign Finance,0,1,B
male,50-64,democrat,Bernie Sanders,WI,Why Cruz is in trouble in Texas,http://www.cnn.com/2016/02/25/politics/ted-cruz-super-tuesday-texas/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,0,1,B
male,50-64,democrat,Bernie Sanders,WI,Cruz to tea party supporters: Don't get 'burned' by fake conservatives,http://www.cnn.com/2016/01/16/politics/ted-cruz-tea-party-rally-donald-trump-marco-rubio/index.html,CNN,Ted Cruz,11.9,12.0,54.56,Immigration,0,1,B
male,50-64,democrat,Bernie Sanders,WI,Trump's closing pitch to Iowa caucus-goers a family affair,http://hosted2.ap.org/APDEFAULT/89ae8247abe8493fae24405546e9a1aa/Article_2016-01-31-US--2016-Election-The%20Latest/id-3b77ffea54704d26a8f9fcc61ff634b6,the Associated Press,Donald Trump,8.7,8.8,62.68,Campaign Finance,0,1,B
male,50-64,democrat,Bernie Sanders,WI,First Draft: Hispanic Celebrities Denounce Donald Trump and G.O.P. Field,http://www.nytimes.com/politics/first-draft/2016/02/11/hispanic-celebrities-denounce-donald-trump-and-g-o-p-field/,The New York Times,Donald Trump,11.5,9.2,44.75,Immigration,-1,1,B
female,18-29,no_affiliation,Hillary Clinton,IL,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,1,0,B
female,18-29,no_affiliation,Hillary Clinton,IL,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,1,1,B
female,18-29,no_affiliation,Hillary Clinton,IL,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,0,0,B
female,18-29,no_affiliation,Hillary Clinton,IL,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,-1,B
female,18-29,no_affiliation,Hillary Clinton,IL,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,-1,0,B
male,30-49,independent_other,Bernie Sanders,NC,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,0,0,B
male,30-49,independent_other,Bernie Sanders,NC,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,0,2,B
male,30-49,independent_other,Bernie Sanders,NC,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,0,0,B
male,30-49,independent_other,Bernie Sanders,NC,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,2,B
male,30-49,independent_other,Bernie Sanders,NC,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,0,1,B
male,64+,republican,John Kasich,DE,"The Ad Campaign: In New Ad, Hillary Clinton Sums Up Her Case for Iowa and New Hampshire Democrats",http://www.nytimes.com/2016/01/21/us/politics/in-new-ad-hillary-clinton-sums-up-her-case-for-iowa-and-new-hampshire-democrats.html,The New York Times,Hillary Clinton,7.9,9.2,70.13,Foreign Policy/National Security,0,2,B
male,64+,republican,John Kasich,DE,First Draft: Digital Ads for Hillary Clinton Focus on Young Women and Equal Pay,http://www.nytimes.com/politics/first-draft/2016/02/29/digital-ads-for-hillary-clinton-focus-on-young-women-and-equal-pay/,The New York Times,Hillary Clinton,9.5,9.6,60.65,Campaign Finance,0,-2,B
male,64+,republican,John Kasich,DE,Sources say Feds probing Clinton payola claims,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/cGafgAtCxvQ/sources-say-feds-probing-clinton-payola-claims.html,Fox News,Hillary Clinton,9.5,9.6,60.65,Abortion,0,0,B
male,64+,republican,John Kasich,DE,Video suggests Clinton shared info that 'would never be on an unclassified system' normally,http://feeds.foxnews.com/~r/foxnews/most-popular/~3/v6YhQb7Zjpg/video-suggests-clinton-shared-info-that-would-never-be-on-unclassified-system-normally.html,Fox News,Hillary Clinton,13.4,11.2,39.67,Foreign Policy/National Security,-1,0,B
male,64+,republican,John Kasich,DE,Donald Trump Leads Georgia by Wide Margin,http://blogs.wsj.com/washwire/2016/02/25/donald-trump-leads-georgia-by-wide-margin/,The Wall Street Journal,Donald Trump,4.1,5.2,80.28,Foreign Policy/National Security,1,-2,B
female,30-49,independent_other,Bernie Sanders,KY,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,1,1,B
female,30-49,independent_other,Bernie Sanders,KY,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,-1,1,B
female,30-49,independent_other,Bernie Sanders,KY,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,-1,1,B
female,30-49,independent_other,Bernie Sanders,KY,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,-1,1,B
female,30-49,independent_other,Bernie Sanders,KY,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,-1,1,B
female,30-49,democrat,Not Voting,MI,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,1,1,B
female,30-49,democrat,Not Voting,MI,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,1,1,B
female,30-49,democrat,Not Voting,MI,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,1,0,B
female,30-49,democrat,Not Voting,MI,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,-1,0,B
female,30-49,democrat,Not Voting,MI,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,-1,0,B
male,18-29,republican,Donald Trump,MS,Bernie Sanders Lunchtime Scoop: ‘Tuna Salad’,http://blogs.wsj.com/washwire/2016/02/12/bernie-sanders-lunchtime-scoop-tuna-salad/,The Wall Street Journal,Bernie Sanders,5.2,6.4,77.23,Campaign Finance,1,1,B
male,18-29,republican,Donald Trump,MS,Takeaways from Ted Cruz's Iowa road trip,http://www.cnn.com/2016/01/10/politics/cruz-iowa-takeaways/index.html,CNN,Ted Cruz,8.7,10.0,68.1,Campaign Finance,-1,-1,B
male,18-29,republican,Donald Trump,MS,Capital Journal Friday PM: Clinton Emails; Growing Divide in U.S. Economy; Top Stories of the Week,http://blogs.wsj.com/washwire/2016/01/29/capital-journal-friday-pm-income-for-recent-graduates-shows-growing-divide-in-u-s-economy-central-banks-try-unconventional-policy-tools-the-election-2016-money-race/,The Wall Street Journal,Hillary Clinton,12.3,10.0,42.72,Foreign Policy/National Security,1,-2,B
male,18-29,republican,Donald Trump,MS,Ingraham: Trump's campaign strategy is to take down all opponents Mafioso-style,http://feeds.foxnews.com/~r/foxnews/politics/~3/ZnFKx855-JY/ingraham-trumps-campaign-strategy-is-to-take-down-all-opponents-mafioso-style.html,Fox News,Donald Trump,8.7,10.0,68.1,Immigration,-1,-2,B
male,18-29,republican,Donald Trump,MS,Trump deflects specifics when it comes to abortion position,http://www.cnn.com/2016/01/26/politics/donald-trump-abortion/index.html,CNN,Donald Trump,8.7,8.8,62.68,Abortion,-1,-1,B
female,30-49,no_affiliation,Donald Trump,NC,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,0,1,B
female,30-49,no_affiliation,Donald Trump,NC,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,0,1,B
female,30-49,no_affiliation,Donald Trump,NC,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,The New York Times,Bernie Sanders,9.1,8.0,56.25,Immigration,1,1,B
female,30-49,no_affiliation,Donald Trump,NC,Who's funding this pro-Ted Cruz super PAC?,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,CNN,Ted Cruz,11.9,10.8,49.15,Campaign Finance,-1,-1,B
female,30-49,no_affiliation,Donald Trump,NC,Obama hopes to pave way for Clinton with SOTU,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,CNN,Hillary Clinton,13.0,13.2,51.52,Foreign Policy/National Security,1,0,B
female,30-49,republican,Ted Cruz,TN,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,0,1,B
female,30-49,republican,Ted Cruz,TN,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,0,0,B
female,30-49,republican,Ted Cruz,TN,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,The New York Times,Bernie Sanders,9.1,8.0,56.25,Immigration,0,1,B
female,30-49,republican,Ted Cruz,TN,Who's funding this pro-Ted Cruz super PAC?,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,CNN,Ted Cruz,11.9,10.8,49.15,Campaign Finance,0,1,B
female,30-49,republican,Ted Cruz,TN,Obama hopes to pave way for Clinton with SOTU,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,CNN,Hillary Clinton,13.0,13.2,51.52,Foreign Policy/National Security,0,1,B
male,18-29,democrat,Hillary Clinton,NY,Sanders Plans Volley of Ads in Iowa in Final Push Toward Caucuses,http://blogs.wsj.com/washwire/2016/01/27/sanders-plans-volley-of-ads-in-iowa-in-final-push-toward-caucuses/,The Wall Street Journal,Bernie Sanders,6.0,7.2,75.2,Campaign Finance,0,0,B
male,18-29,democrat,Hillary Clinton,NY,Bernie Sanders’s Fans Toot Their Own Horns to Support Vermont Senator,http://blogs.wsj.com/washwire/2016/01/07/bernie-sanderss-fans-toot-their-own-horns-to-support-vermont-senator/,The Wall Street Journal,Bernie Sanders,8.8,7.6,57.27,Campaign Finance,1,1,B
male,18-29,democrat,Hillary Clinton,NY,"As Bernie Sanders Makes History, Jews Wonder What It Means",http://www.nytimes.com/2016/02/11/us/politics/bernie-sanders-jewish.html,The New York Times,Bernie Sanders,9.1,8.0,56.25,Immigration,1,1,B
male,18-29,democrat,Hillary Clinton,NY,Who's funding this pro-Ted Cruz super PAC?,http://www.cnn.com/2016/02/06/politics/ted-cruz-super-pac/index.html,CNN,Ted Cruz,11.9,10.8,49.15,Campaign Finance,-1,0,B
male,18-29,democrat,Hillary Clinton,NY,Obama hopes to pave way for Clinton with SOTU,http://www.cnn.com/2016/01/12/politics/barack-obama-hillary-clinton-2016-election/index.html,CNN,Hillary Clinton,13.0,13.2,51.52,Foreign Policy/National Security,0,0,B
male,18-29,democrat,Hillary Clinton,CA,"Behind Ted Cruz’s Campaign Manager, Scorched Earth and Election Victories",http://www.nytimes.com/2016/02/24/us/politics/ted-cruz-campaign-manager-jeff-roe.html,The New York Times,Ted Cruz,5.2,6.4,77.23,Campaign Finance,1,0,B
male,18-29,democrat,Hillary Clinton,CA,First Draft: Ted Cruz’s Iowa Bus Tour: The Tattooed Hunk Had a Familiar Face,http://www.nytimes.com/politics/first-draft/2016/01/09/ted-cruzs-iowa-bus-tour-the-tattooed-hunk-had-a-familiar-face/,The New York Times,Ted Cruz,6.0,7.2,75.2,Immigration,-1,1,B
male,18-29,democrat,Hillary Clinton,CA,Cruz rules out 'deportation force' to boot undocumented immigrants,http://www.cnn.com/2016/01/10/politics/ted-cruz-immigration-deportation-guns-terrorism/index.html,CNN,Ted Cruz,9.1,9.2,61.67,Immigration,-1,1,B
male,18-29,democrat,Hillary Clinton,CA,Ted Cruz's conventional campaign to win Iowa,http://www.cnn.com/2016/02/02/politics/ted-cruz-iowa-caucuses-2016/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,1,0,B
male,18-29,democrat,Hillary Clinton,CA,BORDERLINE ACCURATE Trump camp defends using African migrants in 'wall' ad,http://www.foxnews.com/politics/2016/01/05/trump-criticized-for-campaign-ad-showing-southern-border-using-footage-morocco.html,Fox News,Donald Trump,12.3,12.4,53.55,Immigration,0,1,B
male,18-29,independent_other,Donald Trump,NY,"Behind Ted Cruz’s Campaign Manager, Scorched Earth and Election Victories",http://www.nytimes.com/2016/02/24/us/politics/ted-cruz-campaign-manager-jeff-roe.html,The New York Times,Ted Cruz,5.2,6.4,77.23,Campaign Finance,-1,1,B
male,18-29,independent_other,Donald Trump,NY,First Draft: Ted Cruz’s Iowa Bus Tour: The Tattooed Hunk Had a Familiar Face,http://www.nytimes.com/politics/first-draft/2016/01/09/ted-cruzs-iowa-bus-tour-the-tattooed-hunk-had-a-familiar-face/,The New York Times,Ted Cruz,6.0,7.2,75.2,Immigration,0,2,B
male,18-29,independent_other,Donald Trump,NY,Cruz rules out 'deportation force' to boot undocumented immigrants,http://www.cnn.com/2016/01/10/politics/ted-cruz-immigration-deportation-guns-terrorism/index.html,CNN,Ted Cruz,9.1,9.2,61.67,Immigration,0,1,B
male,18-29,independent_other,Donald Trump,NY,Ted Cruz's conventional campaign to win Iowa,http://www.cnn.com/2016/02/02/politics/ted-cruz-iowa-caucuses-2016/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,0,1,B
male,18-29,independent_other,Donald Trump,NY,BORDERLINE ACCURATE Trump camp defends using African migrants in 'wall' ad,http://www.foxnews.com/politics/2016/01/05/trump-criticized-for-campaign-ad-showing-southern-border-using-footage-morocco.html,Fox News,Donald Trump,12.3,12.4,53.55,Immigration,0,2,B
male,18-29,independent_other,Bernie Sanders,DE,"Behind Ted Cruz’s Campaign Manager, Scorched Earth and Election Victories",http://www.nytimes.com/2016/02/24/us/politics/ted-cruz-campaign-manager-jeff-roe.html,The New York Times,Ted Cruz,5.2,6.4,77.23,Campaign Finance,-1,1,B
male,18-29,independent_other,Bernie Sanders,DE,First Draft: Ted Cruz’s Iowa Bus Tour: The Tattooed Hunk Had a Familiar Face,http://www.nytimes.com/politics/first-draft/2016/01/09/ted-cruzs-iowa-bus-tour-the-tattooed-hunk-had-a-familiar-face/,The New York Times,Ted Cruz,6.0,7.2,75.2,Immigration,0,0,B
male,18-29,independent_other,Bernie Sanders,DE,Cruz rules out 'deportation force' to boot undocumented immigrants,http://www.cnn.com/2016/01/10/politics/ted-cruz-immigration-deportation-guns-terrorism/index.html,CNN,Ted Cruz,9.1,9.2,61.67,Immigration,0,2,B
male,18-29,independent_other,Bernie Sanders,DE,Ted Cruz's conventional campaign to win Iowa,http://www.cnn.com/2016/02/02/politics/ted-cruz-iowa-caucuses-2016/index.html,CNN,Ted Cruz,11.1,11.2,56.59,Campaign Finance,1,1,B
male,18-29,independent_other,Bernie Sanders,DE,BORDERLINE ACCURATE Trump camp defends using African migrants in 'wall' ad,http://www.foxnews.com/politics/2016/01/05/trump-criticized-for-campaign-ad-showing-southern-border-using-footage-morocco.html,Fox News,Donald Trump,12.3,12.4,53.55,Immigration,-1,1,B
female,18-29,republican,Other,OH,First Draft: Bernie Sanders Tells Minnesotans They Can ‘Make History’,http://www.nytimes.com/politics/first-draft/2016/02/29/bernie-sanders-tells-minnesotans-they-can-make-history/,The New York Times,Bernie Sanders,8.0,8.0,64.71,Campaign Finance,-1,0,B
female,18-29,republican,Other,OH,Cuomo: New Yorkers Not ‘Judgmental’ Like Cruz,http://blogs.wsj.com/washwire/2016/01/15/cuomo-new-yorkers-not-judgmental-like-cruz/,The Wall Street Journal,Ted Cruz,5.6,6.8,76.22,Abortion,-1,-1,B
